Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Blast Phase	2/214	0.004846114012576645	0.03048723897227924	0	0	23.32311320754717	124.30235406776296	CXCL12;KIT
synovial sarcoma	2/217	0.004979273786109693	0.03048723897227924	0	0	22.99418604651163	121.92600984614373	KIT;AXIN2
Malignant melanoma of iris	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	KIT
Merkel Cell Polyomavirus Infection	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	KIT
Hemiplegic migraine, familial type 1	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CACNA1A
Spinocerebellar tract degeneration	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CACNA1A
Idiopathic familial dystonia	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CACNA1A
Platelet thrombus	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CTSG
Diarrhea-associated hemolytic uremic syndrome	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CXCL12
Primary acquired melanosis	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	KIT
Drowsiness	1/10	0.0049898178893478615	0.03048723897227924	0	0	246.679012345679	1307.4865498601448	CACNA1A
Invasive Ductal Breast Carcinoma	2/218	0.005024037108783727	0.030528575218401664	0	0	22.886574074074073	121.15057108803265	CXCL12;KIT
Gastrointestinal Carcinoid Tumor	2/225	0.005342638137636909	0.03145451158738926	0	0	22.16031390134529	115.9435537816646	CXCL12;KIT
Ki-1+ Anaplastic Large Cell Lymphoma	2/228	0.005481989295361324	0.03145451158738926	0	0	21.86283185840708	113.82418239896597	KIT;CLU
Sinonasal undifferentiated carcinoma	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
Carney Triad	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
Nasopharyngeal Angiofibroma	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
Nevus, Blue	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
Trisomy 4	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
pediatric AIDS	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	CXCL12
Indolent Systemic Mastocytosis	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
