ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11730881_a_at	NEBL	nebulette	-2.238	11.221
11730973_a_at	CA4	carbonic anhydrase IV	3.788	7.627
11731172_s_at	GLDN	gliomedin	2.677	4.886
11731317_a_at	MMP28	matrix metallopeptidase 28	2.091	7.512
11731433_a_at	SEPP1	selenoprotein P, plasma, 1	2.016	6.693
11731460_at	CPM	carboxypeptidase M	2.648	10.151
11731461_x_at	CPM	carboxypeptidase M	3.243	11.09
11731464_at	CPM	carboxypeptidase M	2.598	10.192
11731525_at	TRIP13	thyroid hormone receptor interactor 13	-2.122	9.243
11731554_a_at	SYNPO2	synaptopodin 2	2.089	3.076
11731606_at	SCIN	scinderin	2.42	5.955
11731607_a_at	SCIN	scinderin	2.306	6.571
11731688_at	SI	sucrase-isomaltase (alpha-glucosidase)	2.667	3.551
11731795_at	EPHX4	epoxide hydrolase 4	-3.056	15.549
11731797_a_at	RGS13	regulator of G-protein signaling 13	2.332	6.33
11731798_a_at	LGALS2	lectin, galactoside-binding, soluble, 2	3.724	10.384
11731857_x_at	MT1H	metallothionein 1H	3.042	7.465
11731862_at	CDH19	cadherin 19, type 2	2.724	7.1
11731957_at	GUCA2A	guanylate cyclase activator 2A (guanylin)	4.601	13.652
11731981_a_at	ADTRP	androgen-dependent TFPI-regulating protein	2.221	8.666
11732085_a_at	SLC13A2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	2.211	6.691
11732089_a_at	ISX	intestine-specific homeobox	2.185	5.941
11732094_a_at	PYY	peptide YY	4.037	11.923
11732106_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	2.917	8.009
11732178_a_at	MYH11	myosin, heavy chain 11, smooth muscle	2.555	3.59
11732179_x_at	MYH11	myosin, heavy chain 11, smooth muscle	2.286	3.549
11732337_x_at	BCAS1	breast carcinoma amplified sequence 1	2.005	6.242
11732485_a_at	BTNL8	butyrophilin-like 8	2.803	3.938
11732699_a_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	3.248	9.869
11732700_x_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	3.201	9.957
11732719_at	EREG	epiregulin	-2.433	3.866
11732768_at	RNF152	ring finger protein 152	2.16	12.58
11732818_at	TMEM171	transmembrane protein 171	2.663	9.423
11732838_at	GUCA2B	guanylate cyclase activator 2B (uroguanylin)	4.92	14.43
11733115_a_at	CA2	carbonic anhydrase II	3.87	7.46
11733327_at	NKD1	naked cuticle homolog 1 (Drosophila)	-2.727	4.527
11733394_at	TRPM6	transient receptor potential cation channel, subfamily M, member 6	3.523	9.962
11733522_a_at	RUNDC3B	RUN domain containing 3B	2.213	10.16
11733581_a_at	CA7	carbonic anhydrase VII	2.538	10.729
11733698_s_at	SGK1	serum/glucocorticoid regulated kinase 1	2.414	5.857
11733707_x_at	COL11A1	collagen, type XI, alpha 1	-2.377	5.62
11733744_at	MS4A12	membrane-spanning 4-domains, subfamily A, member 12	4.2	6.648
11733817_s_at	FHL1	four and a half LIM domains 1	2.036	5.108
11733818_x_at	FHL1	four and a half LIM domains 1	2.395	5.41
11733966_at	VIP	vasoactive intestinal peptide	2.718	6.687
11733967_at	VIP	vasoactive intestinal peptide	2.516	5.672
11734311_s_at	CNN1	calponin 1, basic, smooth muscle	2.161	2.647
11734319_a_at	SLC17A4	solute carrier family 17, member 4	2.802	12.357
11734320_a_at	SLC17A4	solute carrier family 17, member 4	3.141	10.703
11734322_at	BMP3	bone morphogenetic protein 3	3.328	14.682
11734396_at	HRASLS2	HRAS-like suppressor 2	2.008	5.033
11734418_s_at	MAMDC2	MAM domain containing 2	2.461	7.252
11734548_a_at	TGFBI	transforming growth factor, beta-induced, 68kDa	-2.335	8.919
11734549_s_at	TGFBI	transforming growth factor, beta-induced, 68kDa	-2.191	8.219
11734550_x_at	TGFBI	transforming growth factor, beta-induced, 68kDa	-2.215	8.918
11734578_a_at	CFH	complement factor H	2.085	6.268
11734978_at	BTNL3	butyrophilin-like 3	2.088	9.354
11734979_at	BTNL3	butyrophilin-like 3	2.45	8.364
11735143_at	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	2.334	5.157
11735331_a_at	RUNDC3B	RUN domain containing 3B	2.205	10.696
11735421_a_at	NKD2	naked cuticle homolog 2 (Drosophila)	-2.068	5.95
11735430_at	BEST2	bestrophin 2	2.329	4.99
11735589_at	PTGDR	prostaglandin D2 receptor (DP)	2.252	6.376
11735833_a_at	CEMIP	cell migration inducing protein, hyaluronan binding	-3.669	9.64
11735913_s_at	TNXA /// TNXB	tenascin XA (pseudogene) /// tenascin XB	2.144	6.407
11735989_s_at	JCHAIN	joining chain of multimeric IgA and IgM	3.105	5.761
11735990_x_at	JCHAIN	joining chain of multimeric IgA and IgM	3.114	5.126
11736061_a_at	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	-2.594	4.767
11736163_a_at	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	2.86	11.837
11736190_a_at	OGN	osteoglycin	3.543	7.335
11736191_s_at	OGN	osteoglycin	3.602	7.245
11736281_a_at	SLC22A3	solute carrier family 22 (organic cation transporter), member 3	-2.98	12.634
11736544_at	MACC1	metastasis associated in colon cancer 1	-2.255	9.658
11736852_at	LRRC19	leucine rich repeat containing 19	2.794	11.823
11736853_at	LRRC19	leucine rich repeat containing 19	3.21	8.597
11737158_at	SLC9A2	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2	2.366	5.407
11737294_a_at	TMIGD1	transmembrane and immunoglobulin domain containing 1	5.413	15.042
11737644_a_at	RNF183	ring finger protein 183	-2.168	7.553
11737749_a_at	SGK1	serum/glucocorticoid regulated kinase 1	2.439	6.214
11737750_s_at	SGK1	serum/glucocorticoid regulated kinase 1	2.373	5.738
11737953_a_at	SLC28A2	solute carrier family 28 (concentrative nucleoside transporter), member 2	2.187	2.923
11738028_a_at	LAMA1	laminin, alpha 1	2.99	7.059
11738092_a_at	PDE9A	phosphodiesterase 9A	2.666	7.099
11738507_at	INSL5	insulin-like 5	3.585	4.747
11739036_a_at	PLP1	proteolipid protein 1	2.999	9.498
11739037_s_at	PLP1	proteolipid protein 1	2.846	7.896
11739061_at	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member 5	-2.202	7.986
11739128_a_at	CDH3	cadherin 3, type 1, P-cadherin (placental)	-3.457	16.518
11739338_at	FAM46C	family with sequence similarity 46, member C	2.434	10.699
11739339_s_at	FAM46C	family with sequence similarity 46, member C	2.312	11.376
11739365_x_at	FAM92A1	family with sequence similarity 92, member A1	-2.223	6.832
11739696_s_at	AFF3	AF4/FMR2 family, member 3	2.413	12.153
11739823_a_at	CPNE8	copine VIII	2.393	8.955
11740051_at	DUSP27	dual specificity phosphatase 27 (putative)	-2.292	2.118
11740060_at	FABP2	fatty acid binding protein 2, intestinal	2.113	4.769
11740632_at	REP15	RAB15 effector protein	2.018	3.71
11740645_a_at	NXPE4	neurexophilin and PC-esterase domain family, member 4	2.875	4.323
11740757_s_at	SIM2	single-minded family bHLH transcription factor 2	-2.929	12.527
11740854_a_at	SLC6A20	solute carrier family 6 (proline IMINO transporter), member 20	-2.082	3.709
11741049_s_at	TMEM100	transmembrane protein 100	2.464	8.502
11741369_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	3.012	8.06
11741376_a_at	LRP8	LDL receptor related protein 8	-2.06	8.277
11741499_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.672	9.3
11741602_x_at	EDN3	endothelin 3	2.633	9.623
11741897_a_at	MMP1	matrix metallopeptidase 1	-2.479	3.108
11741986_a_at	NXPE4	neurexophilin and PC-esterase domain family, member 4	2.877	4.173
11742188_a_at	SLC4A4	solute carrier family 4 (sodium bicarbonate cotransporter), member 4	3.114	13.277
11742378_a_at	AKR1B10 /// AKR1B15	aldo-keto reductase family 1, member B10 (aldose reductase) /// aldo-keto reductase family 1, member B15	2.204	5.459
11742697_a_at	ITM2A	integral membrane protein 2A	2.217	7.92
11742762_at	GCG	glucagon	4.745	7.805
11742813_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	2.659	6.004
